location_id,city_name,state_name,state_code,country,region,mesoregion,latitude,longitude,altitude_m,population_class
penha,Penha,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-26.7754,-48.6465,0,small
peritiba,Peritiba,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-27.3736,-51.905,0,small
pescaria_brava,Pescaria Brava,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.3846,-48.8658,0,small
petrolandia,Petrolândia,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-27.533,-49.6985,0,small
balneario_picarras,Balneário Piçarras,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-26.7639,-48.6717,0,small
pinhalzinho,Pinhalzinho,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.8526,-52.9872,0,small
pinheiro_preto,Pinheiro Preto,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.0457,-51.2296,0,small
piratuba,Piratuba,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.4216,-51.7823,0,small
planalto_alegre,Planalto Alegre,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.0721,-52.8667,0,small
pomerode,Pomerode,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-26.7356,-49.177,0,small
ponte_alta,Ponte Alta,Santa Catarina,SC,Brasil,Sul,Serrana,-27.4835,-50.3764,0,small
ponte_alta_do_norte,Ponte Alta do Norte,Santa Catarina,SC,Brasil,Sul,Serrana,-27.1626,-50.4684,0,small
ponte_serrada,Ponte Serrada,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.8709,-52.0164,0,small
porto_belo,Porto Belo,Santa Catarina,SC,Brasil,Sul,Grande Florianópolis,-27.1542,-48.5424,0,small
porto_uniao,Porto União,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.2336,-51.0828,0,small
pouso_redondo,Pouso Redondo,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.2567,-49.9332,0,small
praia_grande,Praia Grande,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-29.1971,-49.9504,0,small
